	マンション名	住所	立地1	立地2	立地3	築年数	建物高さ	階	賃料	管理費	敷/礼/保証/敷引,償却	間取り	専有面積	URL
10111	仮称）神田神保町1丁目PJII	東京都千代田区神田神保町１	都営三田線/神保町駅 歩3分	東京メトロ半蔵門線/神保町駅 歩3分	ＪＲ中央線/水道橋駅 歩9分			2階	6.8万円	2000円	6.8万円/6.8万円/-/-	ワンルーム	20.35m	https://suumo.jp/chintai/jnc_000040645197/?bc=100122625160
10112	仮称）神田神保町1丁目PJII	東京都千代田区神田神保町１	都営三田線/神保町駅 歩3分	東京メトロ半蔵門線/神保町駅 歩3分	ＪＲ中央線/水道橋駅 歩9分			2階	7万円	-	7万円/7万円/-/-	ワンルーム	19.98m	https://suumo.jp/chintai/jnc_000040645197/?bc=100122625160
10113	仮称）神田神保町1丁目PJII	東京都千代田区神田神保町１	都営三田線/神保町駅 歩3分	東京メトロ半蔵門線/神保町駅 歩3分	ＪＲ中央線/水道橋駅 歩9分			2階	6.9万円	-	-/-/-/-	1K	16.48m	https://suumo.jp/chintai/jnc_000040645197/?bc=100122625160
10114	仮称）神田神保町1丁目PJII	東京都千代田区神田神保町１	都営三田線/神保町駅 歩3分	東京メトロ半蔵門線/神保町駅 歩3分	ＪＲ中央線/水道橋駅 歩9分			7階	7万円	5000円	7万円/7万円/-/-	ワンルーム	17.36m	https://suumo.jp/chintai/jnc_000040645197/?bc=100122625160
10115	仮称）神田神保町1丁目PJII	東京都千代田区神田神保町１	都営三田線/神保町駅 歩3分	東京メトロ半蔵門線/神保町駅 歩3分	ＪＲ中央線/水道橋駅 歩9分			15階	32.5万円	-	130万円/-/-/-	1LDK	67.85m	https://suumo.jp/chintai/jnc_000040645197/?bc=100122625160
10116	ＣＥＮＴＵＲＹ　ＰＡＲＫ　ＴＯＷＥＲ（センチュリーパークタワー）	東京都中央区佃２	東京メトロ有楽町線/月島駅 歩10分	東京メトロ日比谷線/八丁堀駅 歩12分	ＪＲ京葉線/越中島駅 歩15分			6階	9.8万円	12000円	9.8万円/9.8万円/-/-	1K	23.25m	https://suumo.jp/chintai/jnc_000036678607/?bc=100110855531
10117	パークウェル浅草弐番館	東京都台東区浅草７	東武伊勢崎線/浅草駅 歩10分	つくばエクスプレス/浅草駅 歩13分	都営浅草線/浅草駅 歩11分			6階	9.8万円	12000円	-/9.8万円/-/-	1K	23.25m	https://suumo.jp/chintai/jnc_000041209326/?bc=100124710432
10118	東京メトロ銀座線 浅草駅 10階建 築11年	東京都台東区浅草７	東京メトロ銀座線/浅草駅 歩10分	都営浅草線/浅草駅 歩10分	東武伊勢崎線/浅草駅 歩10分			6階	9.8万円	12000円	9.8万円/9.8万円/-/-	1K	23.25m	https://suumo.jp/chintai/jnc_000041209327/?bc=100121202452
10119	ディアプラザ根津	東京都台東区谷中１	東京メトロ千代田線/根津駅 歩3分	東京メトロ南北線/東大前駅 歩14分	ＪＲ山手線/日暮里駅 歩14分			3階	8.8万円	-	8.8万円/8.8万円/-/-	1K	22.41m	https://suumo.jp/chintai/jnc_000040369087/?bc=100117834650
10120	ディアプラザ根津	東京都台東区谷中１	東京メトロ千代田線/根津駅 歩3分	東京メトロ南北線/東大前駅 歩14分	ＪＲ山手線/日暮里駅 歩14分			2階	6万円	-	12万円/-/-/-	ワンルーム	16.3m	https://suumo.jp/chintai/jnc_000040369087/?bc=100117834650
10121	ディアプラザ根津	東京都台東区谷中１	東京メトロ千代田線/根津駅 歩3分	東京メトロ南北線/東大前駅 歩14分	ＪＲ山手線/日暮里駅 歩14分			2階	6.9万円	3000円	13.8万円/3.45万円/-/-	ワンルーム	16.3m	https://suumo.jp/chintai/jnc_000040369087/?bc=100117834650
10122	都営大江戸線 新御徒町駅 10階建 築28年	東京都台東区元浅草３	都営大江戸線/新御徒町駅 歩7分	東京メトロ銀座線/田原町駅 歩7分	つくばエクスプレス/浅草駅 歩13分			2階	7.4万円	5000円	7.4万円/-/-/-	1K	29m	https://suumo.jp/chintai/jnc_000017996231/?bc=100125130501
10123	ＪＲ総武線 浅草橋駅 9階建 築37年	東京都台東区浅草橋２	ＪＲ総武線/浅草橋駅 歩5分	都営大江戸線/蔵前駅 歩14分	ＪＲ総武線快速/馬喰町駅 歩12分			2階	10.4万円	8000円	10.4万円/10.4万円/-/-	1K	28.76m	https://suumo.jp/chintai/jnc_000040546534/?bc=100122281547
10124	ＪＲ中央線 御茶ノ水駅 地下2地上17階建 築13年	東京都千代田区神田駿河台４	ＪＲ中央線/御茶ノ水駅 歩3分	東京メトロ丸ノ内線/淡路町駅 歩4分	東京メトロ千代田線/新御茶ノ水駅 歩5分			5階	5.9万円	6000円	11.8万円/5.9万円/-/-	ワンルーム	21.36m	https://suumo.jp/chintai/jnc_000032734365/?bc=100094605019
10125	パレステュディオ神田EAST	東京都千代田区東神田１	ＪＲ総武線快速/馬喰町駅 歩3分	都営新宿線/馬喰横山駅 歩3分	東京メトロ日比谷線/小伝馬町駅 歩5分			5階	5.9万円	6000円	11.8万円/5.9万円/-/-	ワンルーム	21.36m	https://suumo.jp/chintai/jnc_000040817937/?bc=100123270570
10126	パレステュディオ神田イースト	東京都千代田区東神田１	ＪＲ総武線快速/馬喰町駅 歩3分	都営新宿線/馬喰横山駅 歩4分	東京メトロ日比谷線/小伝馬町駅 歩2分			2階	13.8万円	10500円	13.8万円/13.8万円/-/-	1K	30.04m	https://suumo.jp/chintai/jnc_000040817935/?bc=100123283855
10127	ＪＲ総武線快速 馬喰町駅 8階建 築15年	東京都千代田区東神田１	ＪＲ総武線快速/馬喰町駅 歩6分	都営新宿線/馬喰横山駅 歩6分	東京メトロ日比谷線/小伝馬町駅 歩4分			3階	13.9万円	10500円	13.9万円/13.9万円/-/-	1K	30.04m	https://suumo.jp/chintai/jnc_000040817936/?bc=100123241606
10128	パークウェル御茶ノ水	東京都千代田区神田須田町１	ＪＲ中央線/御茶ノ水駅 歩7分	ＪＲ山手線/秋葉原駅 歩5分	ＪＲ山手線/神田駅 歩3分			7階	9.8万円	10000円	9.8万円/9.8万円/-/-	1K	24.41m	https://suumo.jp/chintai/jnc_000033463392/?bc=100124777073
10129	クリエイトハウス谷中	東京都台東区谷中２	東京メトロ千代田線/根津駅 歩7分	東京メトロ千代田線/千駄木駅 歩7分	東京メトロ南北線/東大前駅 歩12分			4階	11.6万円	10000円	11.6万円/11.6万円/-/-	1K	32.19m	https://suumo.jp/chintai/jnc_000038461761/?bc=100118665857
10130	クリエイトハウス谷中	東京都台東区谷中２	東京メトロ千代田線/根津駅 歩7分	東京メトロ千代田線/千駄木駅 歩7分	東京メトロ南北線/東大前駅 歩12分			7階	15.5万円	-	31万円/15.5万円/-/-	1DK	31.32m	https://suumo.jp/chintai/jnc_000038461761/?bc=100118665857
